"Year","Month","CloudFrac","RainFrac"
2009,"6",0.285845053914674,0.0957069854664791
2009,"7",0.401344982078853,0.0326294802867384
2009,"8",0.417278001792115,0.0136216397849462
2009,"9",0.314757749165474,0.00481020505484025
2010,"6",0.334729981378026,0.190495344506518
2010,"7",0.311875843454791,0.0590440845704004
2010,"8",0.309269282814614,0.116982859720343
2010,"9",0.329797514619883,0.164239766081871
2011,"6",0.295268065268065,0.130998834498835
2011,"7",0.224574372759857,0.0787352150537634
2011,"8",0.311735061728395,0.102377777777778
2011,"9",0.279385815602837,0.298836170212766
2012,"6",0.224246638850255,0.0627804821511358
2012,"7",0.280658378136201,0.0435622759856631
2012,"8",0.29110685483871,0.0348525985663082
2012,"9",0.242133886255924,0.117480252764613
2013,"6",0.490092592592593,0.212812731481481
2013,"7",0.355757168458781,0.20381832437276
2013,"8",0.257190860215054,0.170058691756272
2013,"9",0.288652482269504,0.0822193853427896
2014,"6",0.442224345364473,0.160715852795471
2014,"7",0.295430107526882,0.0684361559139785
2014,"8",0.372177419354839,0.0801948924731183
2014,"9",0.351486354775828,0.0229349415204678
2015,"6",0.151013779527559,0.508363333333333
2015,"7",0.231806117858749,0.119311740890688
2015,"8",0.315689964157706,0.104811827956989
2015,"9",0.220697784064121,0.108677510608204
2016,"6",0.215833433319022,0.100923715386993
2016,"7",0.270237183228171,0.0677458610660593
2016,"8",0.287573666990943,0.0902120728943326
2016,"9",0.270049913239574,0.0463327729381966
2017,"6",0.329287336528116,0.134217883993351
2017,"7",0.287831332612253,0.116985639098262
2017,"8",0.290696117033307,0.0674400134591642
2017,"9",0.159803896892733,0.0726992234823143
2018,"6",0.224198066460396,0.105154139395501
2018,"7",0.167259249190079,0.0753581162071859
2018,"8",0.286031400930466,0.0926612596189292
2018,"9",0.22262097671838,0.195711109397847
2019,"6",0.116026863877738,0.184160654236125
2019,"7",0.237457601634626,0.0797063446410431
2019,"8",0.253373651241555,0.0856356867144265
2019,"9",0.306805051411157,0.144251800311736
2020,"6",0.239101105443136,0.056148290225905
2020,"7",0.313616629832034,0.0599668748802419
2020,"8",0.246445393071237,0.0947370592585125
2020,"9",0.289515753281736,0.071470886490787
2021,"6",0.202079538191061,0.065727997985987
2021,"7",0.321998273524742,0.139112317172813
2021,"8",0.290654793639292,0.0806388429393145
2021,"9",NA,NA
